"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
PieChartPainter,package:fl_chart/src/chart/pie_chart/pie_chart_painter.dart,1,32,32,0,0,0,0,0,1,32,32,0
PieChartLeaf,package:fl_chart/src/chart/pie_chart/pie_chart_renderer.dart,1,32,32,0,1,32,32,0,0,0,0,0
MethodChannelFirebaseApp,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,32,32,0,0,0,0,0,1,32,32,0
MethodChannelFirebaseAnalytics,package:firebase_analytics_platform_interface/src/method_channel/method_channel_firebase_analytics.dart,2,32,32,0,0,0,0,0,2,32,32,0
FirebaseAnalyticsHostApi,package:firebase_analytics_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,0,0,0,0,2,32,32,0
FirebaseAnalytics,package:firebase_analytics/firebase_analytics.dart,1,32,32,0,0,0,0,0,1,32,32,0
StreamQueryStore,package:drift/src/runtime/executor/stream_queries.dart,1,32,32,0,0,0,0,0,1,32,32,0
DatabaseConnection,package:drift/src/runtime/api/runtime_api.dart,1,32,32,0,0,0,0,0,1,32,32,0
OrderingTerm,package:drift/src/runtime/query_builder/query_builder.dart,1,32,32,0,0,0,0,0,1,32,32,0
_ComparisonOperator,package:drift/src/runtime/query_builder/query_builder.dart,1,32,32,0,0,0,0,0,1,32,32,0
MigrationStrategy,package:drift/src/runtime/query_builder/query_builder.dart,1,32,32,0,0,0,0,0,1,32,32,0
SqlTypes,package:drift/src/runtime/types/mapping.dart,2,32,32,0,0,0,0,0,2,32,32,0
LazyDatabase,package:drift/src/utils/lazy_database.dart,1,32,32,0,0,0,0,0,1,32,32,0
Lock,package:drift/src/utils/synchronized.dart,2,32,32,0,0,0,0,0,2,32,32,0
MyApp,package:expense_app_new/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
AchievementsScreen,package:expense_app_new/screens/achievements_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
AddExpenseScreen,package:expense_app_new/screens/add_expense_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
LoginScreen,package:expense_app_new/screens/auth/login_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProfileSetupScreen,package:expense_app_new/screens/auth/profile_setup_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SignupScreen,package:expense_app_new/screens/auth/signup_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
BudgetScreen,package:expense_app_new/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
DashboardScreen,package:expense_app_new/screens/dashboard_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpenseListScreen,package:expense_app_new/screens/expense_list_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
OnboardingScreen,package:expense_app_new/screens/onboarding_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProfileScreen,package:expense_app_new/screens/profile_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
RecurringExpensesScreen,package:expense_app_new/screens/recurring_expenses_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ReportsScreen,package:expense_app_new/screens/reports_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
VoiceOverlayScreen,package:expense_app_new/screens/voice_overlay_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
GamificationService,package:expense_app_new/services/gamification_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
RecurringExpenseService,package:expense_app_new/services/recurring_expense_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
SessionService,package:expense_app_new/services/session_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
